# Bullinger	Heinrich
# Bullinger	Heinrich sen
# Bullinger	Heinrich jun
#	JLUw	s.n.
#	JZUfikei	s.n.
#	Jaskeus	Johannes
#	Jeger	Jsaak
#	Jewel	Jhn
#	JfiaslerJosua	s.n.
#	Jfrlo	s.n.
#	Jirjlc	Sixt
#	Jjeniseh	Marx
#	Jlmer	Johynn onrad
#	JoBTllller	Charles
#	JoLxomx	fTSSLfTR
#	JoMJ	i Zürcher Kirc
#	Joachim	s.n.
#	Jociscus	Andreas
#	Johann	s.n.
#	Johann	Baptist
#	John	s.n.
#	Jonrilliers	Charles
#	JonvilIlers	Charles
#	Jonvillaeus	Charles
#	JonvilliArs	Charles
#	Jonvillier	Oharies
#	Jonvilllera	s.n.
#	Jonyillaeus	Carolus
#	JrVetoivu	s.n.
#	Justine	Gräfin zu Lupfen
#	Kappeier	Veit f
#	Karl	Gregorius
#	Karlia	Gregor
#	Kaufmann	Emporus Hiero
#	Keler	Johannes
#	Keller	Diethelm
#	Keller	G org
#	Kielmann	Johannes
#	Kilchmayer	Jost
#	Kilchmeyer	Jmst
#	Kilchmeyer	ost
#	Kirche	s.n.
#	Kirche	StGallen
#	Kirchenräte	der
#	Klcbmeierjj	jjpdocusj
#	KleberBieber	Eusebius
#	Klettgau	Prediger
#	Klösel	Anton
#	Kolb	Andreas
#	Krai	Johannes
#	Krupek	Konrad
#	Kuaoulus	ifelfgoag
#	Kugelaaim	Georg
#	Kugelmann	Georg
#	Küfer	Jakob
#	Laetus	rasau GXxA
#	Laevinus	Heinrich
#	Landamaxm	und Landsgemeinde
#	Lasco	Johannes
#	Lasicius	Johannes
#	Lasicki	Johann
#	Lasieki	Johannes
#	Lasitius	Johannes
#	Laubenberg	Job Wilhelm vo
#	Leipzig	s.n.
#	Lening	Johannes
#	Lentulus	Scipio Egli
#	Lever	homas Langharn
#	Lewald	Balthasar
#	Lfvinus	Heinrich
#	Lindauer	Bernhard
#	Lindauer	ermhard
#	Linki	Heinrich
#	Lismanini	Francesco
#	Lismaninus	Franciscus
#	Lismaninus	Franclscus
#	Lismanlnus	Franciscus
#	Lismanninus	Franciscus
#	Lismanninus	Franclscus
#	LläerHans	s.n.
#	Lner	Hans
#	Londanus	BicaMdus
#	LrasiUi	Themsu
#	Ludwig	ivonWittgenstein
#	Ludwig	wo Wittgeastein
#	Lusinski	Johannes
#	Lusmski	s.n.
#	Luter	Hans
#	LycoBthenes	Konrad
#	LycostHhenes	s.n.
#	Lycostenes	Konrad
#	Lycosthenes	Conrad
#	Lydius	s.n.
#	Lydius	MartInus
#	Lydius	Martin
#	Lyeosthenes	Konrad
#	Löwenklau	Johannes
#	Mader	Balthasar
#	Magius	Vincentius
#	Mainardi	Agostino
#	Mainardo	Augustin
#	Majtinenus	Ulysses
#	Maler	Nikolaus
#	Malier	Hoharines
#	Malier	Johannes
#	Mameranus	Nikolaus
#	Marburg	s.n.
#	Marcuaad	Blasius
#	Marcuard	s.n.
#	Marcuard	Blaise
#	Marcuard	Slaise
#	MartinTSgus	Ulisses
#	Martinenghi	ülyssey ä
#	Martinengo	Gelso
#	Martinengo	Ulysses
#	Martinengus	Celsus
#	Martinengus	Ulisses
#	Martinengus	Ulysses
#	Martinua	s.n.
#	Massarius	Hieronymus
#	MatShaeus	Johannes
#	Matthaeus	Johannes
#	Mattinengus	Ulisses
#	Melander	Dionys
#	Melander	Dionysius
#	Melander	Dionysius A
#	Melanehthon	Philipp
